Via,Amount,Percentage
LinkedIn,198,19.919517102615693
Upwork,65,6.539235412474849
BeBee,61,6.1368209255533195
Indeed,46,4.627766599597585
SimplyHired,43,4.325955734406438
My ArkLaMiss Jobs,26,2.61569416498994
Trabajo.org,23,2.3138832997987926
Mendeley,21,2.112676056338028
KSNT Jobs,19,1.9114688128772637
CareerBuilder,19,1.9114688128772637
reed.co.uk,18,1.8108651911468814
DataYoshi,18,1.8108651911468814
Glassdoor,17,1.710261569416499
WANE Jobs,17,1.710261569416499
Recruit.net,17,1.710261569416499
JobLeads,14,1.4084507042253522
Monster,13,1.30784708249497
WJTV Jobs,13,1.30784708249497
Tarta.ai,12,1.2072434607645874
Built In,11,1.1066398390342052
